Occupation (SOC code),Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters (47-3015)",840,29.6,$22.35 ,"$46,490 ",5.9,$16.31 ,$17.46 ,$20.09 ,$28.22 ,$30.42 ,"$33,910 ","$36,310 ","$41,790 ","$58,700 ","$63,280 ",0.263,0.93
"Helpers, Construction Trades, All Other (47-3019)",890,8.5,$22.30 ,"$46,390 ",0.9,$17.51 ,$17.52 ,$22.41 ,$23.08 ,$27.99 ,"$36,430 ","$36,440 ","$46,620 ","$48,010 ","$58,210 ",0.279,1.69
Construction and Building Inspectors (47-4011),"3,580",12.1,$37.20 ,"$77,370 ",4.1,$25.27 ,$29.92 ,$35.12 ,$43.76 ,$52.50 ,"$52,570 ","$62,240 ","$73,040 ","$91,020 ","$109,190 ",1.12,1.26
Elevator and Escalator Installers and Repairers (47-4021),(8) -,(8) -,$51.66 ,"$107,460 ",27.8,$26.70 ,$41.66 ,$53.12 ,$64.20 ,$64.21 ,"$55,530 ","$86,650 ","$110,500 ","$133,540 ","$133,550 ",(8) -,(8) -
Fence Erectors (47-4031),370,48.8,$23.40 ,"$48,670 ",7.7,$17.81 ,$21.58 ,$22.10 ,$28.77 ,$29.12 ,"$37,040 ","$44,880 ","$45,970 ","$59,840 ","$60,570 ",0.115,0.78
Hazardous Materials Removal Workers (47-4041),560,33.2,$22.13 ,"$46,020 ",9.2,$14.47 ,$16.33 ,$22.77 ,$26.46 ,$28.44 ,"$30,110 ","$33,960 ","$47,360 ","$55,040 ","$59,160 ",0.174,0.53
Highway Maintenance Workers (47-4051),"1,570",7.5,$23.21 ,"$48,270 ",0.9,$17.82 ,$20.47 ,$22.97 ,$24.69 ,$29.29 ,"$37,070 ","$42,570 ","$47,770 ","$51,360 ","$60,910 ",0.492,0.5
Rail-Track Laying and Maintenance Equipment Operators (47-4061),180,2.6,$32.35 ,"$67,280 ",1,$23.69 ,$27.41 ,$36.43 ,$37.61 ,$38.07 ,"$49,270 ","$57,020 ","$75,770 ","$78,230 ","$79,190 ",0.055,0.52
Septic Tank Servicers and Sewer Pipe Cleaners (47-4071),300,25.4,$22.36 ,"$46,500 ",4,$18.09 ,$19.33 ,$22.33 ,$23.96 ,$29.80 ,"$37,620 ","$40,210 ","$46,450 ","$49,830 ","$61,970 ",0.093,0.49
Miscellaneous Construction and Related Workers (47-4090),(8) -,(8) -,$25.63 ,"$53,310 ",9.2,$17.77 ,$22.91 ,$24.87 ,$28.97 ,$32.06 ,"$36,970 ","$47,640 ","$51,720 ","$60,250 ","$66,670 ",(8) -,(8) -
"Rotary Drill Operators, Oil and Gas (47-5012)",60,41.1,$32.24 ,"$67,060 ",24.9,$15.26 ,$16.51 ,$36.32 ,$46.98 ,$48.21 ,"$31,740 ","$34,340 ","$75,540 ","$97,710 ","$100,270 ",0.02,0.24
"Excavating and Loading Machine and Dragline Operators, Surface Mining (47-5022)",370,20.9,$26.79 ,"$55,730 ",3.3,$18.93 ,$23.59 ,$27.46 ,$30.70 ,$34.62 ,"$39,370 ","$49,060 ","$57,110 ","$63,850 ","$72,020 ",0.116,0.52
"Earth Drillers, Except Oil and Gas (47-5023)",680,18.1,$31.25 ,"$65,000 ",2.8,$24.64 ,$24.89 ,$29.63 ,$32.26 ,$40.18 ,"$51,240 ","$51,760 ","$61,640 ","$67,110 ","$83,580 ",0.213,1.88
"Explosives Workers, Ordnance Handling Experts, and Blasters (47-5032)",30,30.8,$26.42 ,"$54,940 ",12.4,$18.49 ,$18.50 ,$30.29 ,$30.29 ,$33.37 ,"$38,460 ","$38,470 ","$63,010 ","$63,010 ","$69,410 ",0.01,0.27
Continuous Mining Machine Operators (47-5041),"2,190",4.5,$28.72 ,"$59,740 ",2,$22.63 ,$24.83 ,$28.27 ,$31.32 ,$37.09 ,"$47,070 ","$51,650 ","$58,790 ","$65,140 ","$77,140 ",0.687,7.38
"Underground Mining Machine Operators, All Other (47-5049)",130,30.4,$33.72 ,"$70,140 ",6,$21.94 ,$26.93 ,$30.04 ,$41.36 ,$48.07 ,"$45,640 ","$56,010 ","$62,490 ","$86,030 ","$99,990 ",0.041,1.83
Helpers--Extraction Workers (47-5081),400,44.7,$26.51 ,"$55,130 ",7.9,$19.67 ,$22.06 ,$25.37 ,$31.80 ,$31.80 ,"$40,910 ","$45,890 ","$52,760 ","$66,140 ","$66,140 ",0.126,2.89
"Installation, Maintenance, and Repair Occupations (49-0000)","139,760",1.7,$28.38 ,"$59,030 ",0.6,$17.50 ,$20.70 ,$25.51 ,$33.96 ,$41.61 ,"$36,400 ","$43,060 ","$53,060 ","$70,640 ","$86,540 ",43.719,1.12
"First-Line Supervisors of Mechanics, Installers, and Repairers (49-1011)","12,140",3.5,$37.53 ,"$78,060 ",1.1,$21.58 ,$27.46 ,$35.46 ,$45.59 ,$57.35 ,"$44,890 ","$57,120 ","$73,760 ","$94,820 ","$119,290 ",3.799,0.98
"Computer, Automated Teller, and Office Machine Repairers (49-2011)",940,20.2,$22.41 ,"$46,610 ",3.1,$17.12 ,$18.50 ,$19.94 ,$27.38 ,$29.66 ,"$35,610 ","$38,480 ","$41,480 ","$56,940 ","$61,680 ",0.295,0.62
"Radio, Cellular, and Tower Equipment Installers and Repairers (49-2021)",140,17.6,$41.85 ,"$87,050 ",4.1,$27.78 ,$29.54 ,$45.84 ,$49.53 ,$53.31 ,"$57,780 ","$61,440 ","$95,350 ","$103,020 ","$110,880 ",0.045,0.6
"Telecommunications Equipment Installers and Repairers, Except Line Installers (49-2022)","2,430",25,$32.30 ,"$67,180 ",5.9,$18.43 ,$27.29 ,$29.71 ,$39.75 ,$42.43 ,"$38,330 ","$56,770 ","$61,790 ","$82,670 ","$88,250 ",0.76,0.76
Avionics Technicians (49-2091),440,37.8,$40.67 ,"$84,590 ",2.7,$33.33 ,$37.28 ,$40.65 ,$45.84 ,$49.31 ,"$69,330 ","$77,540 ","$84,550 ","$95,350 ","$102,560 ",0.138,1.02
"Electric Motor, Power Tool, and Related Repairers (49-2092)",340,44.7,$24.11 ,"$50,140 ",4.6,$19.57 ,$22.28 ,$23.32 ,$24.56 ,$32.41 ,"$40,700 ","$46,350 ","$48,510 ","$51,090 ","$67,410 ",0.106,0.99
"Electrical and Electronics Installers and Repairers, Transportation Equipment (49-2093)",70,5,$39.92 ,"$83,040 ",1.6,$31.12 ,$31.13 ,$39.83 ,$46.57 ,$50.83 ,"$64,730 ","$64,740 ","$82,840 ","$96,870 ","$105,730 ",0.021,0.45
"Electrical and Electronics Repairers, Commercial and Industrial Equipment (49-2094)",580,13.4,$37.84 ,"$78,700 ",1.7,$25.54 ,$31.37 ,$36.22 ,$41.89 ,$49.06 ,"$53,130 ","$65,250 ","$75,340 ","$87,130 ","$102,040 ",0.182,0.47
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay (49-2095)",270,10.9,$49.00 ,"$101,920 ",4.8,$26.98 ,$38.08 ,$56.96 ,$57.89 ,$59.06 ,"$56,130 ","$79,210 ","$118,470 ","$120,410 ","$122,840 ",0.085,0.57
"Electronic Equipment Installers and Repairers, Motor Vehicles (49-2096)",(8) -,(8) -,$26.98 ,"$56,120 ",24.4,$17.97 ,$18.67 ,$23.29 ,$40.23 ,$43.26 ,"$37,380 ","$38,840 ","$48,450 ","$83,670 ","$89,990 ",(8) -,(8) -
Audiovisual Equipment Installers and Repairers (49-2097),"1,020",28,$23.96 ,"$49,840 ",7.1,$18.49 ,$18.85 ,$21.95 ,$26.59 ,$33.75 ,"$38,460 ","$39,210 ","$45,650 ","$55,300 ","$70,190 ",0.319,2.21
Security and Fire Alarm Systems Installers (49-2098),"2,100",18,$27.48 ,"$57,170 ",4.1,$18.79 ,$22.02 ,$25.72 ,$30.68 ,$38.40 ,"$39,090 ","$45,810 ","$53,490 ","$63,810 ","$79,860 ",0.657,1.24
Aircraft Mechanics and Service Technicians (49-3011),"4,620",9.1,$38.00 ,"$79,040 ",1.9,$23.69 ,$30.67 ,$37.08 ,$44.10 ,$56.92 ,"$49,280 ","$63,790 ","$77,130 ","$91,720 ","$118,390 ",1.446,1.63
Automotive Body and Related Repairers (49-3021),"2,460",13.5,$26.95 ,"$56,050 ",3.9,$17.62 ,$22.05 ,$23.78 ,$29.06 ,$38.57 ,"$36,650 ","$45,870 ","$49,460 ","$60,450 ","$80,230 ",0.769,0.76
Automotive Glass Installers and Repairers (49-3022),700,20.3,$22.70 ,"$47,220 ",4.6,$17.98 ,$19.19 ,$22.07 ,$22.85 ,$29.76 ,"$37,390 ","$39,920 ","$45,910 ","$47,520 ","$61,900 ",0.218,1.78
Automotive Service Technicians and Mechanics (49-3023),"17,390",3.6,$27.72 ,"$57,670 ",2,$17.12 ,$18.49 ,$23.75 ,$35.19 ,$43.99 ,"$35,620 ","$38,460 ","$49,400 ","$73,190 ","$91,510 ",5.439,1.22
Bus and Truck Mechanics and Diesel Engine Specialists (49-3031),"5,430",7.7,$29.00 ,"$60,330 ",1.6,$20.91 ,$23.78 ,$28.50 ,$33.10 ,$38.04 ,"$43,500 ","$49,450 ","$59,270 ","$68,840 ","$79,120 ",1.698,0.91
Farm Equipment Mechanics and Service Technicians (49-3041),350,29.2,$31.09 ,"$64,670 ",7.3,$17.99 ,$23.82 ,$28.91 ,$37.35 ,$48.77 ,"$37,420 ","$49,550 ","$60,130 ","$77,690 ","$101,450 ",0.111,0.46
"Mobile Heavy Equipment Mechanics, Except Engines (49-3042)","7,840",5.5,$31.25 ,"$64,990 ",1.9,$20.87 ,$25.19 ,$30.23 ,$36.13 ,$39.66 ,"$43,410 ","$52,400 ","$62,880 ","$75,150 ","$82,490 ",2.452,2.1
Rail Car Repairers (49-3043),170,5.9,$31.58 ,"$65,680 ",1.5,$21.75 ,$27.77 ,$31.15 ,$36.38 ,$36.38 ,"$45,240 ","$57,760 ","$64,790 ","$75,680 ","$75,680 ",0.054,0.46
Motorboat Mechanics and Service Technicians (49-3051),310,19.5,$24.01 ,"$49,930 ",7,$15.99 ,$19.48 ,$22.32 ,$28.38 ,$29.38 ,"$33,260 ","$40,520 ","$46,420 ","$59,040 ","$61,100 ",0.098,0.62
Motorcycle Mechanics (49-3052),490,20.1,$24.19 ,"$50,300 ",2.6,$16.86 ,$18.72 ,$20.98 ,$28.03 ,$31.91 ,"$35,060 ","$38,940 ","$43,640 ","$58,310 ","$66,370 ",0.153,1.68
Outdoor Power Equipment and Other Small Engine Mechanics (49-3053),680,19.9,$22.51 ,"$46,820 ",6.4,$14.35 ,$17.41 ,$21.05 ,$27.09 ,$31.34 ,"$29,850 ","$36,210 ","$43,780 ","$56,350 ","$65,180 ",0.213,0.96
Bicycle Repairers (49-3091),500,29.9,$18.31 ,"$38,090 ",0.9,$15.21 ,$17.20 ,$18.44 ,$18.46 ,$22.78 ,"$31,650 ","$35,780 ","$38,340 ","$38,390 ","$47,380 ",0.157,1.92
Recreational Vehicle Service Technicians (49-3092),"1,280",21,$34.31 ,"$71,370 ",6.3,$18.54 ,$21.62 ,$24.27 ,$31.54 ,$49.00 ,"$38,560 ","$44,960 ","$50,480 ","$65,600 ","$101,920 ",0.401,3.3
Tire Repairers and Changers (49-3093),"3,750",7.2,$18.86 ,"$39,230 ",1.5,$16.03 ,$17.25 ,$17.91 ,$18.54 ,$23.11 ,"$33,340 ","$35,880 ","$37,240 ","$38,560 ","$48,060 ",1.173,1.7
Mechanical Door Repairers (49-9011),"1,260",25.1,$27.46 ,"$57,110 ",4.5,$18.44 ,$23.27 ,$27.92 ,$30.50 ,$37.55 ,"$38,350 ","$48,410 ","$58,070 ","$63,440 ","$78,100 ",0.395,2.18
"Control and Valve Installers and Repairers, Except Mechanical Door (49-9012)",560,3.7,$36.72 ,"$76,390 ",3.2,$24.34 ,$30.41 ,$35.39 ,$38.00 ,$56.52 ,"$50,630 ","$63,250 ","$73,610 ","$79,050 ","$117,550 ",0.175,0.58
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers (49-9021)","10,850",9.1,$28.14 ,"$58,540 ",2.3,$19.11 ,$23.12 ,$27.20 ,$30.53 ,$37.69 ,"$39,760 ","$48,090 ","$56,580 ","$63,500 ","$78,380 ",3.394,1.32
Home Appliance Repairers (49-9031),920,17.4,$25.62 ,"$53,290 ",6.7,$17.54 ,$18.37 ,$22.68 ,$28.31 ,$38.65 ,"$36,470 ","$38,200 ","$47,170 ","$58,880 ","$80,380 ",0.289,1.4
Industrial Machinery Mechanics (49-9041),"4,450",8.9,$33.56 ,"$69,800 ",2,$22.32 ,$26.54 ,$31.17 ,$38.36 ,$47.03 ,"$46,430 ","$55,200 ","$64,840 ","$79,790 ","$97,810 ",1.393,0.51
"Maintenance Workers, Machinery (49-9043)",480,18.1,$29.64 ,"$61,660 ",3.8,$20.88 ,$24.21 ,$26.86 ,$33.65 ,$40.74 ,"$43,430 ","$50,350 ","$55,860 ","$69,990 ","$84,730 ",0.15,0.41
Millwrights (49-9044),890,36.9,$31.41 ,"$65,330 ",12.9,$21.66 ,$23.02 ,$27.92 ,$38.38 ,$50.69 ,"$45,040 ","$47,880 ","$58,080 ","$79,840 ","$105,440 ",0.278,1.05
Electrical Power-Line Installers and Repairers (49-9051),"1,520",9.6,$44.99 ,"$93,580 ",2.9,$24.70 ,$30.97 ,$49.03 ,$58.18 ,$62.29 ,"$51,370 ","$64,420 ","$101,980 ","$121,020 ","$129,560 ",0.476,0.59
Telecommunications Line Installers and Repairers (49-9052),"1,680",20,$29.55 ,"$61,460 ",3.2,$21.80 ,$23.13 ,$28.89 ,$33.19 ,$38.51 ,"$45,330 ","$48,110 ","$60,100 ","$69,030 ","$80,100 ",0.525,0.82
Medical Equipment Repairers (49-9062),"1,300",21.5,$34.03 ,"$70,780 ",5.5,$22.04 ,$27.82 ,$30.79 ,$37.08 ,$45.10 ,"$45,850 ","$57,870 ","$64,040 ","$77,130 ","$93,810 ",0.407,1.03
Musical Instrument Repairers and Tuners (49-9063),170,28.9,$21.02 ,"$43,720 ",3.1,$16.76 ,$17.34 ,$18.32 ,$22.84 ,$31.56 ,"$34,860 ","$36,070 ","$38,110 ","$47,510 ","$65,650 ",0.053,1.43
"Precision Instrument and Equipment Repairers, All Other (49-9069)",110,46,$32.67 ,"$67,960 ",7.4,$22.32 ,$24.33 ,$31.79 ,$37.81 ,$48.32 ,"$46,430 ","$50,600 ","$66,120 ","$78,640 ","$100,510 ",0.035,0.56
"Maintenance and Repair Workers, General (49-9071)","39,150",3.2,$24.50 ,"$50,960 ",0.9,$16.51 ,$18.36 ,$22.72 ,$28.81 ,$35.58 ,"$34,340 ","$38,200 ","$47,260 ","$59,930 ","$74,010 ",12.247,1.23
Wind Turbine Service Technicians (49-9081),230,20.1,$33.92 ,"$70,550 ",2.8,$28.86 ,$31.83 ,$32.07 ,$36.43 ,$42.35 ,"$60,030 ","$66,200 ","$66,710 ","$75,760 ","$88,080 ",0.072,0.98
"Coin, Vending, and Amusement Machine Servicers and Repairers (49-9091)","1,180",19.5,$24.39 ,"$50,740 ",2.9,$15.05 ,$21.86 ,$24.64 ,$28.18 ,$30.38 ,"$31,300 ","$45,470 ","$51,240 ","$58,600 ","$63,190 ",0.368,2.01
Locksmiths and Safe Repairers (49-9094),360,13.8,$23.97 ,"$49,860 ",3.1,$16.99 ,$17.95 ,$20.83 ,$26.54 ,$37.26 ,"$35,350 ","$37,330 ","$43,320 ","$55,210 ","$77,490 ",0.112,1.11
Riggers (49-9096),270,41.9,$26.47 ,"$55,060 ",5.3,$21.93 ,$24.20 ,$24.20 ,$26.95 ,$29.62 ,"$45,600 ","$50,340 ","$50,340 ","$56,060 ","$61,620 ",0.084,0.54
Signal and Track Switch Repairers (49-9097),80,0.3,$36.30 ,"$75,490 ",0.4,$28.04 ,$29.03 ,$36.94 ,$45.34 ,$47.28 ,"$58,320 ","$60,390 ","$76,830 ","$94,300 ","$98,340 ",0.024,0.46
"Helpers--Installation, Maintenance, and Repair Workers (49-9098)","1,850",18.2,$20.63 ,"$42,900 ",2.9,$15.35 ,$17.36 ,$20.80 ,$22.77 ,$26.01 ,"$31,930 ","$36,100 ","$43,270 ","$47,360 ","$54,100 ",0.579,0.91
"Installation, Maintenance, and Repair Workers, All Other (49-9099)","5,840",8.5,$23.89 ,"$49,700 ",1.4,$17.97 ,$20.74 ,$22.96 ,$25.20 ,$29.61 ,"$37,380 ","$43,140 ","$47,750 ","$52,410 ","$61,590 ",1.828,1.53
Production Occupations (51-0000),"126,450",1.8,$24.92 ,"$51,840 ",0.5,$16.91 ,$18.63 ,$22.51 ,$28.49 ,$36.76 ,"$35,170 ","$38,750 ","$46,820 ","$59,260 ","$76,460 ",39.554,0.7
First-Line Supervisors of Production and Operating Workers (51-1011),"8,950",3.2,$36.91 ,"$76,780 ",1.7,$22.95 ,$26.75 ,$35.08 ,$42.98 ,$52.94 ,"$47,740 ","$55,640 ","$72,960 ","$89,400 ","$110,120 ",2.799,0.63
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers (51-2011)",640,15.7,$31.86 ,"$66,270 ",3.6,$22.11 ,$27.57 ,$32.18 ,$40.03 ,$40.03 ,"$45,990 ","$57,350 ","$66,930 ","$83,270 ","$83,270 ",0.202,0.95
"Coil Winders, Tapers, and Finishers (51-2021)",40,20,$21.18 ,"$44,050 ",1.3,$18.95 ,$20.32 ,$20.33 ,$21.65 ,$23.57 ,"$39,410 ","$42,270 ","$42,290 ","$45,040 ","$49,030 ",0.012,0.15
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers (51-2028)","5,130",6.3,$22.33 ,"$46,450 ",0.9,$16.46 ,$17.61 ,$20.78 ,$24.37 ,$30.30 ,"$34,230 ","$36,620 ","$43,220 ","$50,690 ","$63,020 ",1.606,0.95
Engine and Other Machine Assemblers (51-2031),120,10.4,$23.16 ,"$48,170 ",1.1,$20.41 ,$20.61 ,$20.61 ,$24.34 ,$32.29 ,"$42,440 ","$42,860 ","$42,860 ","$50,620 ","$67,150 ",0.038,0.15
Structural Metal Fabricators and Fitters (51-2041),(8) -,(8) -,$24.12 ,"$50,160 ",11.9,$18.34 ,$19.81 ,$22.40 ,$23.65 ,$28.95 ,"$38,150 ","$41,200 ","$46,590 ","$49,180 ","$60,210 ",(8) -,(8) -
Fiberglass Laminators and Fabricators (51-2051),60,37,$30.58 ,"$63,600 ",23.9,$18.07 ,$19.80 ,$21.95 ,$37.37 ,$70.23 ,"$37,590 ","$41,180 ","$45,660 ","$77,730 ","$146,070 ",0.019,0.16
Miscellaneous Assemblers and Fabricators (51-2090),"21,460",4.1,$22.74 ,"$47,290 ",0.7,$17.14 ,$18.75 ,$21.76 ,$26.08 ,$28.77 ,"$35,660 ","$38,990 ","$45,270 ","$54,240 ","$59,850 ",6.713,0.71
Bakers (51-3011),"4,950",15.2,$18.63 ,"$38,750 ",0.8,$15.36 ,$17.06 ,$18.24 ,$19.02 ,$22.14 ,"$31,950 ","$35,470 ","$37,940 ","$39,560 ","$46,040 ",1.547,1.03
Butchers and Meat Cutters (51-3021),"2,220",13.6,$20.10 ,"$41,820 ",3.3,$14.46 ,$16.06 ,$18.83 ,$23.52 ,$26.13 ,"$30,080 ","$33,410 ","$39,160 ","$48,920 ","$54,340 ",0.695,0.77
"Meat, Poultry, and Fish Cutters and Trimmers (51-3022)",730,34.8,$21.92 ,"$45,600 ",5.6,$17.37 ,$22.44 ,$22.57 ,$22.57 ,$24.13 ,"$36,130 ","$46,680 ","$46,940 ","$46,940 ","$50,180 ",0.228,0.25
Slaughterers and Meat Packers (51-3023),(8) -,(8) -,$21.79 ,"$45,330 ",3.6,$18.15 ,$18.17 ,$22.82 ,$22.82 ,$23.78 ,"$37,750 ","$37,800 ","$47,470 ","$47,470 ","$49,460 ",(8) -,(8) -
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders (51-3091)",90,17.5,$20.21 ,"$42,030 ",2.3,$17.37 ,$17.97 ,$18.94 ,$21.51 ,$22.89 ,"$36,140 ","$37,370 ","$39,400 ","$44,730 ","$47,600 ",0.03,0.23
Food Batchmakers (51-3092),"2,240",6.1,$19.73 ,"$41,030 ",1.5,$14.74 ,$16.22 ,$18.88 ,$22.50 ,$28.31 ,"$30,660 ","$33,740 ","$39,270 ","$46,790 ","$58,890 ",0.702,0.63
Food Cooking Machine Operators and Tenders (51-3093),700,42.1,$18.58 ,"$38,650 ",11.7,$15.00 ,$15.80 ,$16.14 ,$22.90 ,$24.22 ,"$31,200 ","$32,870 ","$33,560 ","$47,630 ","$50,370 ",0.22,1.23
"Food Processing Workers, All Other (51-3099)",540,16.4,$19.84 ,"$41,270 ",1.6,$17.03 ,$18.79 ,$19.33 ,$20.46 ,$23.40 ,"$35,420 ","$39,080 ","$40,210 ","$42,560 ","$48,660 ",0.168,0.45
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic (51-4021)",390,28.2,$24.06 ,"$50,050 ",1.8,$18.97 ,$22.10 ,$23.97 ,$24.95 ,$29.41 ,"$39,460 ","$45,970 ","$49,850 ","$51,900 ","$61,170 ",0.123,0.29
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic (51-4023)",190,15,$24.32 ,"$50,580 ",1.8,$19.62 ,$22.21 ,$22.67 ,$26.47 ,$29.08 ,"$40,810 ","$46,200 ","$47,150 ","$55,060 ","$60,490 ",0.059,0.41
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic (51-4031)","1,140",16.5,$22.51 ,"$46,820 ",1.4,$17.88 ,$18.78 ,$22.35 ,$24.79 ,$28.33 ,"$37,190 ","$39,060 ","$46,490 ","$51,570 ","$58,930 ",0.357,0.32
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic (51-4032)",(8) -,(8) -,$21.98 ,"$45,710 ",4.9,$18.73 ,$21.80 ,$22.42 ,$22.43 ,$23.78 ,"$38,960 ","$45,350 ","$46,630 ","$46,650 ","$49,450 ",(8) -,(8) -
"Grinding/Lapping/Polishing/Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic (51-4033)",820,9.2,$22.67 ,"$47,150 ",1.7,$17.33 ,$19.06 ,$21.21 ,$25.39 ,$31.83 ,"$36,050 ","$39,650 ","$44,120 ","$52,820 ","$66,200 ",0.257,0.57
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic (51-4034)",260,40.4,$27.81 ,"$57,850 ",7.3,$18.43 ,$24.72 ,$25.30 ,$32.61 ,$37.38 ,"$38,340 ","$51,420 ","$52,620 ","$67,840 ","$77,750 ",0.08,0.65
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic (51-4035)",130,10.6,$28.15 ,"$58,550 ",1.5,$21.58 ,$23.64 ,$28.95 ,$31.46 ,$36.18 ,"$44,880 ","$49,160 ","$60,210 ","$65,430 ","$75,260 ",0.04,0.44
Machinists (51-4041),"5,280",7.4,$28.40 ,"$59,070 ",1.5,$19.31 ,$23.52 ,$28.38 ,$31.58 ,$36.83 ,"$40,160 ","$48,930 ","$59,020 ","$65,680 ","$76,600 ",1.651,0.85
Metal-Refining Furnace Operators and Tenders (51-4051),490,15,$25.84 ,"$53,750 ",4.1,$17.60 ,$21.59 ,$26.22 ,$28.96 ,$32.55 ,"$36,610 ","$44,900 ","$54,550 ","$60,230 ","$67,700 ",0.154,1.17
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic (51-4072)","1,410",13.6,$21.75 ,"$45,240 ",3.2,$16.28 ,$17.65 ,$20.76 ,$26.00 ,$28.31 ,"$33,860 ","$36,700 ","$43,180 ","$54,070 ","$58,870 ",0.441,0.44
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic (51-4081)","1,430",17.6,$20.10 ,"$41,810 ",2.3,$16.62 ,$18.19 ,$19.03 ,$22.44 ,$23.55 ,"$34,580 ","$37,840 ","$39,580 ","$46,670 ","$48,980 ",0.448,0.53
Tool and Die Makers (51-4111),260,14.7,$32.28 ,"$67,130 ",1.5,$22.95 ,$26.36 ,$32.49 ,$36.44 ,$40.61 ,"$47,730 ","$54,840 ","$67,580 ","$75,790 ","$84,460 ",0.083,0.23
"Welders, Cutters, Solderers, and Brazers (51-4121)","7,630",8.2,$28.07 ,"$58,390 ",2.4,$19.23 ,$22.78 ,$25.85 ,$31.89 ,$39.44 ,"$39,990 ","$47,390 ","$53,770 ","$66,340 ","$82,040 ",2.386,0.87
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders (51-4122)",300,12.5,$25.37 ,"$52,770 ",3.4,$18.45 ,$21.84 ,$23.08 ,$28.79 ,$35.25 ,"$38,380 ","$45,420 ","$48,010 ","$59,890 ","$73,310 ",0.093,0.4
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic (51-4191)",140,28.2,$25.10 ,"$52,200 ",5.2,$19.71 ,$22.32 ,$24.15 ,$26.13 ,$31.81 ,"$40,990 ","$46,430 ","$50,220 ","$54,350 ","$66,170 ",0.044,0.47
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic (51-4193)",620,26.1,$20.92 ,"$43,520 ",4.6,$17.11 ,$17.79 ,$19.49 ,$22.73 ,$27.25 ,"$35,590 ","$37,000 ","$40,550 ","$47,290 ","$56,680 ",0.194,0.95
"Metal Workers and Plastic Workers, All Other (51-4199)",330,48.5,$23.58 ,"$49,040 ",1.7,$19.60 ,$21.60 ,$23.00 ,$24.42 ,$29.68 ,"$40,770 ","$44,930 ","$47,830 ","$50,800 ","$61,740 ",0.103,0.78
Prepress Technicians and Workers (51-5111),130,29.6,$23.78 ,"$49,450 ",6.2,$16.51 ,$17.90 ,$23.00 ,$29.59 ,$30.74 ,"$34,340 ","$37,230 ","$47,840 ","$61,540 ","$63,930 ",0.041,0.27
Printing Press Operators (51-5112),"2,890",15.2,$21.04 ,"$43,760 ",1.9,$16.54 ,$18.02 ,$20.15 ,$22.52 ,$28.23 ,"$34,410 ","$37,480 ","$41,900 ","$46,840 ","$58,720 ",0.903,0.96
Print Binding and Finishing Workers (51-5113),390,28.9,$19.64 ,"$40,850 ",2.3,$15.76 ,$17.52 ,$18.55 ,$22.54 ,$25.60 ,"$32,790 ","$36,430 ","$38,590 ","$46,890 ","$53,240 ",0.122,0.52
Laundry and Dry-Cleaning Workers (51-6011),"3,900",5.9,$16.91 ,"$35,180 ",1,$15.00 ,$15.95 ,$16.89 ,$17.51 ,$18.04 ,"$31,200 ","$33,170 ","$35,120 ","$36,420 ","$37,510 ",1.219,0.96
"Pressers, Textile, Garment, and Related Materials (51-6021)",400,19.1,$16.84 ,"$35,030 ",2.4,$14.94 ,$15.29 ,$16.87 ,$17.41 ,$20.43 ,"$31,070 ","$31,790 ","$35,090 ","$36,200 ","$42,490 ",0.124,0.71
Sewing Machine Operators (51-6031),"1,340",8.3,$19.80 ,"$41,190 ",1.7,$16.57 ,$17.49 ,$18.87 ,$21.51 ,$23.10 ,"$34,460 ","$36,390 ","$39,240 ","$44,740 ","$48,050 ",0.42,0.59
Shoe and Leather Workers and Repairers (51-6041),(8) -,(8) -,$19.14 ,"$39,820 ",4.5,$16.98 ,$17.62 ,$19.36 ,$21.06 ,$21.06 ,"$35,320 ","$36,650 ","$40,260 ","$43,810 ","$43,810 ",(8) -,(8) -
