Occupation (SOC code),Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Industrial Machinery Mechanics (49-9041),"2,730",8.7,$29.04 ,"$60,400 ",1.9,$19.58 ,$23.07 ,$28.57 ,$32.52 ,$38.90 ,"$40,720 ","$47,990 ","$59,420 ","$67,650 ","$80,910 ",3.168,1.16
"Maintenance Workers, Machinery (49-9043)",(8) -,(8) -,$19.78 ,"$41,140 ",20,$17.00 ,$17.00 ,$17.00 ,$18.31 ,$30.04 ,"$35,360 ","$35,360 ","$35,360 ","$38,090 ","$62,480 ",(8) -,(8) -
Millwrights (49-9044),70,25.5,$37.92 ,"$78,870 ",6.8,$21.37 ,$33.85 ,$39.67 ,$45.40 ,$47.69 ,"$44,450 ","$70,400 ","$82,520 ","$94,430 ","$99,200 ",0.079,0.3
Electrical Power-Line Installers and Repairers (49-9051),"1,100",8,$36.00 ,"$74,880 ",2,$17.61 ,$28.23 ,$37.82 ,$47.42 ,$49.27 ,"$36,630 ","$58,710 ","$78,670 ","$98,630 ","$102,470 ",1.278,1.59
Telecommunications Line Installers and Repairers (49-9052),390,14.1,$28.83 ,"$59,970 ",2.9,$18.91 ,$23.30 ,$29.91 ,$35.06 ,$37.04 ,"$39,320 ","$48,460 ","$62,210 ","$72,920 ","$77,050 ",0.454,0.71
Medical Equipment Repairers (49-9062),250,31.7,$29.38 ,"$61,110 ",12.1,$17.09 ,$20.01 ,$26.06 ,$38.02 ,$42.80 ,"$35,550 ","$41,620 ","$54,210 ","$79,070 ","$89,030 ",0.285,0.72
"Precision Instrument and Equipment Repairers, All Other (49-9069)",90,27.6,$32.78 ,"$68,180 ",4,$27.29 ,$28.26 ,$31.54 ,$37.05 ,$39.90 ,"$56,750 ","$58,790 ","$65,600 ","$77,060 ","$82,990 ",0.102,1.63
"Maintenance and Repair Workers, General (49-9071)","9,230",2.6,$22.25 ,"$46,280 ",0.8,$14.31 ,$16.78 ,$20.13 ,$25.53 ,$32.44 ,"$29,760 ","$34,900 ","$41,860 ","$53,100 ","$67,480 ",10.718,1.08
Wind Turbine Service Technicians (49-9081),150,18.8,$33.16 ,"$68,970 ",2.9,$26.26 ,$27.23 ,$30.96 ,$37.88 ,$41.76 ,"$54,610 ","$56,630 ","$64,390 ","$78,790 ","$86,860 ",0.171,2.35
"Coin, Vending, and Amusement Machine Servicers and Repairers (49-9091)",240,32.6,$20.64 ,"$42,930 ",2.3,$14.06 ,$15.00 ,$19.35 ,$27.48 ,$29.59 ,"$29,230 ","$31,200 ","$40,240 ","$57,160 ","$61,550 ",0.284,1.55
Locksmiths and Safe Repairers (49-9094),110,5.8,$21.54 ,"$44,810 ",3.1,$14.02 ,$15.50 ,$21.73 ,$25.53 ,$29.25 ,"$29,160 ","$32,240 ","$45,190 ","$53,100 ","$60,840 ",0.123,1.22
Manufactured Building and Mobile Home Installers (49-9095),30,47.8,$20.30 ,"$42,210 ",3.2,$17.80 ,$17.80 ,$18.83 ,$22.50 ,$26.00 ,"$37,020 ","$37,020 ","$39,170 ","$46,800 ","$54,080 ",0.037,2.17
Riggers (49-9096),140,13.4,$28.80 ,"$59,890 ",2,$17.25 ,$22.13 ,$32.65 ,$32.67 ,$32.67 ,"$35,870 ","$46,040 ","$67,910 ","$67,960 ","$67,960 ",0.165,1.05
"Helpers--Installation, Maintenance, and Repair Workers (49-9098)",720,13,$18.12 ,"$37,690 ",2.5,$13.69 ,$15.75 ,$17.84 ,$19.04 ,$23.43 ,"$28,480 ","$32,760 ","$37,100 ","$39,600 ","$48,730 ",0.839,1.33
"Installation, Maintenance, and Repair Workers, All Other (49-9099)",620,13.2,$24.39 ,"$50,730 ",1.9,$16.23 ,$19.49 ,$23.55 ,$26.36 ,$33.11 ,"$33,750 ","$40,540 ","$48,980 ","$54,830 ","$68,870 ",0.721,0.61
Production Occupations (51-0000),"28,940",1.9,$23.97 ,"$49,850 ",0.7,$14.48 ,$16.82 ,$19.90 ,$28.54 ,$39.56 ,"$30,110 ","$34,980 ","$41,390 ","$59,360 ","$82,290 ",33.616,0.59
First-Line Supervisors of Production and Operating Workers (51-1011),"2,630",3.4,$33.29 ,"$69,240 ",1.4,$18.53 ,$22.89 ,$29.68 ,$40.58 ,$53.67 ,"$38,530 ","$47,600 ","$61,740 ","$84,410 ","$111,630 ",3.051,0.69
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers (51-2028)",540,13.1,$18.59 ,"$38,670 ",2.4,$14.66 ,$16.37 ,$17.47 ,$17.86 ,$24.38 ,"$30,490 ","$34,040 ","$36,350 ","$37,160 ","$50,700 ",0.626,0.37
Structural Metal Fabricators and Fitters (51-2041),40,26.4,$24.45 ,"$50,850 ",5.3,$18.18 ,$21.80 ,$23.33 ,$26.25 ,$29.10 ,"$37,800 ","$45,350 ","$48,520 ","$54,600 ","$60,540 ",0.049,0.14
Miscellaneous Assemblers and Fabricators (51-2090),"2,570",7.5,$19.77 ,"$41,130 ",1.8,$15.07 ,$16.82 ,$18.66 ,$19.64 ,$26.29 ,"$31,340 ","$34,980 ","$38,810 ","$40,840 ","$54,680 ",2.984,0.32
Bakers (51-3011),"1,130",10.2,$16.50 ,"$34,330 ",1.6,$13.19 ,$14.20 ,$16.35 ,$17.76 ,$20.47 ,"$27,440 ","$29,530 ","$34,010 ","$36,930 ","$42,580 ",1.315,0.87
Butchers and Meat Cutters (51-3021),940,12.3,$18.99 ,"$39,500 ",3.6,$13.57 ,$15.26 ,$17.51 ,$22.66 ,$24.15 ,"$28,230 ","$31,750 ","$36,410 ","$47,130 ","$50,230 ",1.088,1.2
"Meat, Poultry, and Fish Cutters and Trimmers (51-3022)",170,14.8,$16.34 ,"$33,990 ",2.3,$13.72 ,$14.55 ,$14.55 ,$18.79 ,$20.14 ,"$28,540 ","$30,260 ","$30,260 ","$39,080 ","$41,900 ",0.2,0.22
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders (51-3091)",100,20.5,$17.75 ,"$36,910 ",3.5,$14.55 ,$15.21 ,$16.83 ,$19.92 ,$21.61 ,"$30,250 ","$31,630 ","$35,000 ","$41,420 ","$44,950 ",0.113,0.89
Food Batchmakers (51-3092),710,9.2,$17.88 ,"$37,190 ",1.6,$13.81 ,$15.05 ,$17.28 ,$18.97 ,$24.03 ,"$28,730 ","$31,310 ","$35,940 ","$39,460 ","$49,990 ",0.821,0.74
Food Cooking Machine Operators and Tenders (51-3093),290,7.1,$21.66 ,"$45,050 ",1.4,$16.25 ,$22.72 ,$22.72 ,$23.12 ,$23.12 ,"$33,800 ","$47,250 ","$47,250 ","$48,100 ","$48,100 ",0.34,1.9
"Food Processing Workers, All Other (51-3099)",100,12.7,$19.49 ,"$40,540 ",1.6,$17.38 ,$17.70 ,$18.44 ,$20.14 ,$23.07 ,"$36,160 ","$36,810 ","$38,350 ","$41,880 ","$47,980 ",0.12,0.32
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic (51-4021)",70,38.4,$22.36 ,"$46,500 ",5,$18.92 ,$20.08 ,$21.32 ,$23.87 ,$25.04 ,"$39,350 ","$41,770 ","$44,340 ","$49,660 ","$52,080 ",0.076,0.18
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic (51-4031)",180,27.8,$19.81 ,"$41,190 ",3.3,$15.04 ,$16.83 ,$19.05 ,$22.03 ,$25.00 ,"$31,280 ","$35,000 ","$39,630 ","$45,830 ","$52,000 ",0.212,0.19
"Grinding/Lapping/Polishing/Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic (51-4033)",40,30.3,$18.92 ,"$39,350 ",3,$14.99 ,$17.06 ,$17.69 ,$20.52 ,$24.65 ,"$31,180 ","$35,480 ","$36,800 ","$42,680 ","$51,270 ",0.048,0.1
Machinists (51-4041),830,7.2,$29.78 ,"$61,950 ",2.3,$17.82 ,$22.17 ,$27.66 ,$37.01 ,$41.12 ,"$37,060 ","$46,120 ","$57,520 ","$76,970 ","$85,530 ",0.966,0.5
Metal-Refining Furnace Operators and Tenders (51-4051),50,27.6,$22.71 ,"$47,250 ",5.5,$18.21 ,$18.21 ,$22.11 ,$25.92 ,$26.57 ,"$37,870 ","$37,870 ","$45,990 ","$53,910 ","$55,260 ",0.057,0.44
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic (51-4072)",280,6.8,$18.65 ,"$38,790 ",1.2,$13.12 ,$16.58 ,$19.57 ,$19.57 ,$22.93 ,"$27,290 ","$34,490 ","$40,700 ","$40,700 ","$47,690 ",0.329,0.33
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic (51-4081)",130,33.7,$17.30 ,"$35,980 ",5.3,$15.72 ,$15.72 ,$16.93 ,$17.94 ,$17.94 ,"$32,700 ","$32,700 ","$35,220 ","$37,320 ","$37,320 ",0.152,0.18
"Welders, Cutters, Solderers, and Brazers (51-4121)","2,350",10.1,$29.04 ,"$60,390 ",2.8,$17.11 ,$19.44 ,$25.22 ,$38.62 ,$44.11 ,"$35,590 ","$40,440 ","$52,460 ","$80,320 ","$91,740 ",2.724,0.99
Printing Press Operators (51-5112),260,11.5,$18.78 ,"$39,060 ",3.8,$14.19 ,$14.76 ,$17.01 ,$21.90 ,$27.88 ,"$29,510 ","$30,700 ","$35,380 ","$45,550 ","$57,990 ",0.303,0.32
Print Binding and Finishing Workers (51-5113),60,20.6,$16.67 ,"$34,670 ",4.4,$14.81 ,$14.90 ,$14.90 ,$17.59 ,$22.05 ,"$30,800 ","$30,990 ","$30,990 ","$36,590 ","$45,870 ",0.074,0.31
Laundry and Dry-Cleaning Workers (51-6011),"1,270",7.8,$14.80 ,"$30,790 ",1.5,$12.66 ,$13.20 ,$14.42 ,$16.25 ,$17.21 ,"$26,320 ","$27,460 ","$29,990 ","$33,800 ","$35,800 ",1.471,1.16
"Pressers, Textile, Garment, and Related Materials (51-6021)",110,22.9,$15.05 ,"$31,300 ",4.8,$12.54 ,$13.02 ,$13.81 ,$17.19 ,$18.16 ,"$26,090 ","$27,080 ","$28,730 ","$35,750 ","$37,760 ",0.126,0.73
Sewing Machine Operators (51-6031),210,15.1,$16.29 ,"$33,880 ",1.3,$13.22 ,$14.38 ,$16.46 ,$17.64 ,$19.91 ,"$27,490 ","$29,910 ","$34,230 ","$36,680 ","$41,410 ",0.245,0.34
"Tailors, Dressmakers, and Custom Sewers (51-6052)",(8) -,(8) -,$20.12 ,"$41,850 ",9.6,$15.85 ,$19.98 ,$20.96 ,$20.96 ,$21.32 ,"$32,970 ","$41,560 ","$43,600 ","$43,600 ","$44,350 ",(8) -,(8) -
Cabinetmakers and Bench Carpenters (51-7011),130,23.8,$22.56 ,"$46,920 ",4,$18.61 ,$18.99 ,$21.51 ,$25.00 ,$27.26 ,"$38,700 ","$39,510 ","$44,740 ","$52,000 ","$56,700 ",0.156,0.3
Furniture Finishers (51-7021),50,16.5,$20.21 ,"$42,030 ",1.4,$16.82 ,$18.14 ,$19.23 ,$22.44 ,$22.44 ,"$34,980 ","$37,740 ","$40,000 ","$46,670 ","$46,670 ",0.063,0.68
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing (51-7042)",200,35.4,$18.95 ,"$39,410 ",5.5,$14.67 ,$17.00 ,$18.00 ,$19.52 ,$24.40 ,"$30,510 ","$35,350 ","$37,440 ","$40,590 ","$50,750 ",0.232,0.56
Power Plant Operators (51-8013),130,6.2,$40.97 ,"$85,230 ",2.5,$20.16 ,$31.73 ,$47.45 ,$50.68 ,$50.68 ,"$41,930 ","$66,000 ","$98,690 ","$105,410 ","$105,410 ",0.154,0.77
Stationary Engineers and Boiler Operators (51-8021),50,1.8,$27.27 ,"$56,730 ",1.1,$20.25 ,$22.81 ,$23.63 ,$33.77 ,$35.81 ,"$42,120 ","$47,440 ","$49,140 ","$70,230 ","$74,480 ",0.061,0.31
Water and Wastewater Treatment Plant and System Operators (51-8031),"2,180",4.2,$24.78 ,"$51,540 ",1.3,$16.82 ,$18.06 ,$22.44 ,$28.52 ,$37.09 ,"$34,980 ","$37,560 ","$46,680 ","$59,320 ","$77,150 ",2.531,3.08
Gas Plant Operators (51-8092),250,20.5,$42.66 ,"$88,740 ",2.8,$30.29 ,$38.37 ,$45.22 ,$47.53 ,$52.01 ,"$62,990 ","$79,820 ","$94,050 ","$98,860 ","$108,190 ",0.292,2.83
"Petroleum Pump System Operators, Refinery Operators, and Gaugers (51-8093)",400,20,$35.36 ,"$73,560 ",5.8,$21.00 ,$24.14 ,$32.40 ,$46.57 ,$51.71 ,"$43,680 ","$50,220 ","$67,380 ","$96,860 ","$107,550 ",0.464,2.05
"Plant and System Operators, All Other (51-8099)",150,14.4,$32.53 ,"$67,660 ",9.5,$18.57 ,$22.82 ,$26.00 ,$45.82 ,$52.56 ,"$38,620 ","$47,470 ","$54,080 ","$95,310 ","$109,320 ",0.169,1.63
Chemical Equipment Operators and Tenders (51-9011),150,16.1,$28.08 ,"$58,400 ",6,$14.82 ,$19.00 ,$24.85 ,$37.63 ,$49.22 ,"$30,820 ","$39,510 ","$51,680 ","$78,270 ","$102,370 ",0.172,0.21
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders (51-9012)",360,13.1,$20.70 ,"$43,050 ",2.7,$15.05 ,$17.36 ,$19.23 ,$21.75 ,$27.07 ,"$31,310 ","$36,110 ","$40,010 ","$45,250 ","$56,300 ",0.413,1.18
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders (51-9021)",100,19,$22.61 ,"$47,040 ",2.3,$17.58 ,$18.50 ,$20.79 ,$27.88 ,$27.90 ,"$36,560 ","$38,480 ","$43,240 ","$58,000 ","$58,030 ",0.118,0.64
"Grinding and Polishing Workers, Hand (51-9022)",140,20.4,$16.36 ,"$34,030 ",3.2,$12.73 ,$14.00 ,$16.78 ,$17.70 ,$19.31 ,"$26,490 ","$29,120 ","$34,900 ","$36,810 ","$40,170 ",0.163,2.12
"Mixing and Blending Machine Setters, Operators, and Tenders (51-9023)",460,15.8,$19.56 ,"$40,690 ",6.5,$13.38 ,$14.25 ,$17.47 ,$22.46 ,$29.43 ,"$27,830 ","$29,640 ","$36,330 ","$46,720 ","$61,210 ",0.529,0.81
"Cutting and Slicing Machine Setters, Operators, and Tenders (51-9032)",230,9.2,$17.52 ,"$36,440 ",1.7,$15.26 ,$15.26 ,$15.52 ,$18.88 ,$22.20 ,"$31,740 ","$31,740 ","$32,270 ","$39,270 ","$46,180 ",0.268,0.87
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders (51-9041)",150,44.4,$16.61 ,"$34,550 ",4.3,$14.25 ,$14.55 ,$17.08 ,$17.30 ,$18.46 ,"$29,650 ","$30,270 ","$35,520 ","$35,990 ","$38,400 ",0.17,0.46
"Inspectors, Testers, Sorters, Samplers, and Weighers (51-9061)","1,700",5.5,$26.86 ,"$55,870 ",1.7,$16.65 ,$19.52 ,$23.32 ,$32.58 ,$40.51 ,"$34,640 ","$40,590 ","$48,510 ","$67,770 ","$84,260 ",1.969,0.51
Jewelers and Precious Stone and Metal Workers (51-9071),300,8.5,$22.17 ,"$46,110 ",4.2,$13.64 ,$17.00 ,$20.42 ,$26.30 ,$29.65 ,"$28,370 ","$35,360 ","$42,470 ","$54,700 ","$61,680 ",0.347,2.29
Dental Laboratory Technicians (51-9081),160,10.4,$23.79 ,"$49,480 ",3.7,$16.31 ,$17.68 ,$23.36 ,$29.12 ,$33.04 ,"$33,930 ","$36,780 ","$48,590 ","$60,570 ","$68,720 ",0.181,0.82
Medical Appliance Technicians (51-9082),30,48,$22.55 ,"$46,900 ",8.4,$14.34 ,$16.20 ,$24.75 ,$25.15 ,$33.10 ,"$29,840 ","$33,690 ","$51,480 ","$52,320 ","$68,850 ",0.037,0.5
Ophthalmic Laboratory Technicians (51-9083),140,34.4,$17.53 ,"$36,460 ",2.9,$14.06 ,$14.58 ,$17.87 ,$18.26 ,$21.94 ,"$29,240 ","$30,330 ","$37,180 ","$37,980 ","$45,630 ",0.165,1.36
Packaging and Filling Machine Operators and Tenders (51-9111),"1,520",4.6,$17.42 ,"$36,230 ",0.8,$14.19 ,$14.88 ,$17.29 ,$18.36 ,$22.02 ,"$29,510 ","$30,950 ","$35,970 ","$38,190 ","$45,790 ",1.771,0.71
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders (51-9124)",530,10.8,$22.75 ,"$47,320 ",3,$16.61 ,$18.09 ,$21.95 ,$23.12 ,$30.28 ,"$34,550 ","$37,620 ","$45,660 ","$48,090 ","$62,990 ",0.618,0.6
Photographic Process Workers and Processing Machine Operators (51-9151),50,32,$23.95 ,"$49,810 ",13.1,$16.20 ,$16.54 ,$17.29 ,$28.90 ,$39.63 ,"$33,690 ","$34,410 ","$35,960 ","$60,120 ","$82,420 ",0.064,1.77
Computer Numerically Controlled Tool Operators (51-9161),40,22,$22.66 ,"$47,130 ",6.3,$14.99 ,$17.70 ,$21.02 ,$27.65 ,$32.77 ,"$31,180 ","$36,810 ","$43,720 ","$57,520 ","$68,170 ",0.049,0.04
"Paper Goods Machine Setters, Operators, and Tenders (51-9196)",120,18.7,$23.34 ,"$48,540 ",4,$17.37 ,$18.56 ,$22.29 ,$26.68 ,$35.75 ,"$36,130 ","$38,600 ","$46,350 ","$55,500 ","$74,370 ",0.143,0.23
Helpers--Production Workers (51-9198),910,17.2,$17.38 ,"$36,160 ",3,$14.35 ,$14.56 ,$16.89 ,$18.36 ,$20.85 ,"$29,850 ","$30,290 ","$35,130 ","$38,190 ","$43,360 ",1.06,0.98
"Production Workers, All Other (51-9199)",890,19.9,$21.27 ,"$44,240 ",5.4,$14.65 ,$15.91 ,$17.90 ,$22.42 ,$38.00 ,"$30,480 ","$33,090 ","$37,240 ","$46,640 ","$79,040 ",1.039,0.58
Transportation and Material Moving Occupations (53-0000),"61,550",1.5,$21.83 ,"$45,400 ",0.7,$13.99 ,$16.35 ,$19.22 ,$24.13 ,$30.32 ,"$29,090 ","$34,010 ","$39,970 ","$50,180 ","$63,070 ",71.497,0.81
Aircraft Cargo Handling Supervisors (53-1041),70,22.9,$31.31 ,"$65,130 ",10.6,$20.75 ,$22.15 ,$29.53 ,$39.36 ,$45.29 ,"$43,160 ","$46,060 ","$61,420 ","$81,860 ","$94,210 ",0.079,1.2
"First-Line Supervisors of Transportation Workers, Except Aircraft Cargo Handling Supervisors (53-1047)","3,030",4.1,$28.76 ,"$59,810 ",1.6,$18.23 ,$21.63 ,$27.08 ,$34.29 ,$41.30 ,"$37,920 ","$44,990 ","$56,330 ","$71,320 ","$85,910 ",3.515,0.9
"Airline Pilots, Copilots, and Flight Engineers (53-2011)",70,10.5,(4) -,"$165,500 ",6.4,(4) -,(4) -,(4) -,(4) -,(4) -,"$69,930 ","$104,480 ","$134,110 ","$183,560 ",(5) -,0.081,0.13
Commercial Pilots (53-2012),410,13.2,(4) -,"$95,060 ",4.2,(4) -,(4) -,(4) -,(4) -,(4) -,"$56,010 ","$75,610 ","$85,140 ","$101,660 ","$148,920 ",0.478,1.42
Air Traffic Controllers (53-2021),360,0.2,$65.43 ,"$136,090 ",0.1,$35.44 ,$54.26 ,$69.85 ,$79.55 ,$87.62 ,"$73,720 ","$112,860 ","$145,290 ","$165,460 ","$182,250 ",0.417,2.87
Airfield Operations Specialists (53-2022),70,15.8,$25.44 ,"$52,910 ",5.7,$15.00 ,$19.06 ,$21.70 ,$32.39 ,$38.28 ,"$31,200 ","$39,650 ","$45,140 ","$67,380 ","$79,630 ",0.08,0.74
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians (53-3011)",140,19.1,$17.05 ,"$35,460 ",6.1,$12.65 ,$13.18 ,$14.19 ,$19.79 ,$25.59 ,"$26,320 ","$27,400 ","$29,520 ","$41,150 ","$53,240 ",0.165,2.1
Driver/Sales Workers (53-3031),"2,510",16.5,$18.10 ,"$37,640 ",5.5,$12.00 ,$12.86 ,$16.77 ,$22.33 ,$26.58 ,"$24,960 ","$26,750 ","$34,870 ","$46,450 ","$55,290 ",2.911,1.08
Heavy and Tractor-Trailer Truck Drivers (53-3032),"10,850",4.7,$24.77 ,"$51,530 ",1.5,$18.39 ,$21.61 ,$23.25 ,$28.08 ,$31.28 ,"$38,250 ","$44,950 ","$48,360 ","$58,410 ","$65,060 ",12.606,0.94
Light Truck Drivers (53-3033),"4,140",9.3,$20.75 ,"$43,170 ",1.7,$13.89 ,$16.68 ,$20.00 ,$22.83 ,$27.95 ,"$28,890 ","$34,690 ","$41,600 ","$47,480 ","$58,140 ",4.814,0.75
"Bus Drivers, School (53-3051)","1,910",6.1,$22.00 ,"$45,750 ",1.8,$14.73 ,$18.08 ,$22.23 ,$25.46 ,$30.07 ,"$30,640 ","$37,610 ","$46,240 ","$52,950 ","$62,540 ",2.223,0.88
"Bus Drivers, Transit and Intercity (53-3052)",680,7.4,$20.01 ,"$41,620 ",1,$16.59 ,$18.03 ,$20.89 ,$21.96 ,$22.62 ,"$34,500 ","$37,500 ","$43,450 ","$45,680 ","$47,050 ",0.789,0.82
Shuttle Drivers and Chauffeurs (53-3053),"1,430",10.3,$16.96 ,"$35,280 ",2.4,$13.38 ,$14.33 ,$16.59 ,$18.41 ,$21.56 ,"$27,830 ","$29,810 ","$34,510 ","$38,290 ","$44,840 ",1.66,1.11
"Motor Vehicle Operators, All Other (53-3099)",180,19.5,$21.35 ,"$44,410 ",8.3,$12.25 ,$12.91 ,$23.84 ,$25.51 ,$28.36 ,"$25,470 ","$26,850 ","$49,580 ","$53,060 ","$58,990 ",0.207,0.63
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers (53-4022)",140,6.9,$32.02 ,"$66,590 ",1.7,$23.76 ,$31.37 ,$31.37 ,$31.49 ,$38.95 ,"$49,410 ","$65,240 ","$65,240 ","$65,510 ","$81,020 ",0.166,2.05
Railroad Conductors and Yardmasters (53-4031),380,3.7,$34.33 ,"$71,410 ",0.9,$27.11 ,$29.93 ,$33.39 ,$36.43 ,$38.95 ,"$56,390 ","$62,260 ","$69,460 ","$75,770 ","$81,010 ",0.44,1.59
Parking Attendants (53-6021),360,14.5,$14.97 ,"$31,140 ",2.2,$12.79 ,$13.52 ,$14.33 ,$15.50 ,$18.30 ,"$26,610 ","$28,120 ","$29,810 ","$32,240 ","$38,060 ",0.416,0.48
Automotive and Watercraft Service Attendants (53-6031),610,35.7,$15.61 ,"$32,460 ",4.6,$13.23 ,$13.63 ,$14.39 ,$16.39 ,$18.19 ,"$27,520 ","$28,360 ","$29,920 ","$34,080 ","$37,840 ",0.707,1.11
Aircraft Service Attendants (53-6032),170,20.3,$20.75 ,"$43,160 ",4.1,$16.94 ,$17.47 ,$21.48 ,$22.43 ,$23.53 ,"$35,230 ","$36,330 ","$44,680 ","$46,650 ","$48,940 ",0.194,1.09
Traffic Technicians (53-6041),90,2.7,$23.49 ,"$48,860 ",0.9,$18.70 ,$19.28 ,$23.09 ,$26.47 ,$28.10 ,"$38,890 ","$40,100 ","$48,020 ","$55,060 ","$58,450 ",0.103,2.1
Transportation Inspectors (53-6051),140,6.9,$35.89 ,"$74,640 ",1.2,$25.79 ,$26.79 ,$30.64 ,$40.86 ,$53.58 ,"$53,640 ","$55,720 ","$63,730 ","$84,990 ","$111,450 ",0.161,1.07
"Transportation Workers, All Other (53-6099)",(8) -,(8) -,$15.95 ,"$33,180 ",2,$13.03 ,$13.49 ,$16.67 ,$17.91 ,$20.00 ,"$27,090 ","$28,070 ","$34,670 ","$37,260 ","$41,600 ",(8) -,(8) -
Crane and Tower Operators (53-7021),110,18.6,$30.00 ,"$62,390 ",5.2,$19.03 ,$24.39 ,$29.30 ,$33.38 ,$41.67 ,"$39,590 ","$50,720 ","$60,950 ","$69,420 ","$86,670 ",0.123,0.45
Industrial Truck and Tractor Operators (53-7051),"2,430",5.9,$25.78 ,"$53,620 ",2,$17.48 ,$20.30 ,$29.31 ,$29.31 ,$30.74 ,"$36,360 ","$42,220 ","$60,960 ","$60,960 ","$63,930 ",2.819,0.54
Cleaners of Vehicles and Equipment (53-7061),"1,320",8.8,$16.52 ,"$34,360 ",3.8,$12.94 ,$13.42 ,$14.57 ,$16.74 ,$21.94 ,"$26,920 ","$27,910 ","$30,300 ","$34,830 ","$45,630 ",1.53,0.63
"Laborers and Freight, Stock, and Material Movers, Hand (53-7062)","9,340",4.7,$18.66 ,"$38,810 ",1.1,$14.01 ,$15.44 ,$17.79 ,$20.56 ,$23.98 ,"$29,130 ","$32,110 ","$37,000 ","$42,760 ","$49,890 ",10.848,0.56
"Packers and Packagers, Hand (53-7064)","1,100",14.9,$15.60 ,"$32,450 ",1.8,$12.64 ,$12.79 ,$14.31 ,$16.93 ,$19.71 ,"$26,290 ","$26,610 ","$29,750 ","$35,200 ","$41,000 ",1.282,0.33
Stockers and Order Fillers (53-7065),"15,800",2,$18.27 ,"$38,000 ",0.5,$14.18 ,$15.36 ,$17.15 ,$19.13 ,$24.13 ,"$29,500 ","$31,940 ","$35,670 ","$39,780 ","$50,180 ",18.357,1.02
Gas Compressor and Gas Pumping Station Operators (53-7071),70,35.2,$41.57 ,"$86,460 ",12,$17.41 ,$33.88 ,$40.85 ,$54.81 ,$54.93 ,"$36,210 ","$70,480 ","$84,960 ","$114,000 ","$114,260 ",0.076,2.31
"Pump Operators, Except Wellhead Pumpers (53-7072)",110,34.8,$29.24 ,"$60,820 ",5.2,$22.05 ,$23.87 ,$24.70 ,$34.25 ,$38.55 ,"$45,860 ","$49,640 ","$51,380 ","$71,250 ","$80,190 ",0.132,1.62
Wellhead Pumpers (53-7073),"1,320",19.1,$36.13 ,"$75,140 ",11,$18.34 ,$23.43 ,$32.80 ,$41.42 ,$58.59 ,"$38,160 ","$48,730 ","$68,220 ","$86,160 ","$121,880 ",1.533,13.62
Refuse and Recyclable Material Collectors (53-7081),"1,210",7.6,$22.02 ,"$45,810 ",1.4,$16.73 ,$18.54 ,$22.50 ,$24.09 ,$27.94 ,"$34,790 ","$38,560 ","$46,810 ","$50,100 ","$58,110 ",1.411,1.56
